Season,Home Team,Away Team,Score,Month,Year,WeekOfYear,TotalShotsPerHomeTeam,TotalSoTPerHomeTeam,TotalPassesPerHomeTeam,TotalAccurPerHomeTeam,TotalInaccurPerHomeTeam,TotalShotsPerAwayTeam,TotalSoTPerAwayTeam,TotalPassesPerAwayTeam,TotalAccurPerAwayTeam,TotalInaccurPerAwayTeam,ShotsHomeAway_diff,SoTHomeAway_diff,TotalShotsPerMatch,TotalSoTPerMatch,TotalPassesPerMatch,TotalAccurPerMatch,TotalInaccurPerMatch,AccurPassesHome,AccurPassesAway,AccurPassesMatch,ShotsPerHalf1Home,ShotsPerHalf2Home,SoTPerHalf1Home,SoTPerHalf2Home,PassesPerHalf1Home,PassesPerHalf2Home,AccurPerHalf1Home,AccurPerHalf2Home,InaccurPerHalf1Home,InaccurPerHalf2Home,AccurPassesPerHalf1Home,AccurPassesPerHalf2Home,ShotsPerHalf1Away,ShotsPerHalf2Away,SoTPerHalf1Away,SoTPerHalf2Away,PassesPerHalf1Away,PassesPerHalf2Away,AccurPerHalf1Away,AccurPerHalf2Away,InaccurPerHalf1Away,InaccurPerHalf2Away,AccurPassesPerHalf1Away,AccurPassesPerHalf2Away,ShotsHalf1_diff,ShotsHalf2_diff,SoTHalf1_diff,SoTHalf2_diff
1,Antennae,Andromeda,Away win,2,2017,46,8.0,2.0,340.0,265.0,75.0,5.0,1.0,508.0,433.0,75.0,3.0,1.0,13.0,3.0,848.0,698.0,150.0,0.7793,0.8525,0.823,2.0,6.0,0.0,2.0,153.0,187.0,116.0,149.0,37.0,38.0,0.7583,0.797,1.0,4.0,0.0,1.0,314.0,194.0,271.0,162.0,43.0,32.0,0.8633,0.835,1.0,2.0,0.0,1.0
1,Andromeda,Antennae,Draw,9,2016,258,5.0,1.0,443.0,354.0,89.0,10.0,0.0,462.0,386.0,76.0,-5.0,1.0,15.0,1.0,905.0,740.0,165.0,0.7993,0.8354,0.818,2.0,3.0,0.0,1.0,245.0,198.0,205.0,149.0,40.0,49.0,0.837,0.7524,2.0,8.0,0.0,0.0,205.0,257.0,174.0,212.0,31.0,45.0,0.8486,0.8247,0.0,-5.0,0.0,1.0
1,Andromeda,Butterfly,Away win,12,2016,347,3.0,0.0,669.0,554.0,115.0,6.0,2.0,388.0,279.0,109.0,-3.0,-2.0,9.0,2.0,1057.0,833.0,224.0,0.828,0.719,0.788,2.0,1.0,0.0,0.0,266.0,403.0,216.0,338.0,50.0,65.0,0.812,0.839,2.0,4.0,1.0,1.0,245.0,143.0,185.0,94.0,60.0,49.0,0.755,0.657,0.0,-3.0,-1.0,-1.0
1,Andromeda,Cigar,Away win,1,2017,25,5.0,2.0,384.0,281.0,103.0,11.0,3.0,446.0,353.0,93.0,-6.0,-1.0,16.0,5.0,830.0,634.0,196.0,0.732,0.7915,0.7637,2.0,3.0,0.0,2.0,216.0,168.0,171.0,110.0,45.0,58.0,0.7915,0.655,4.0,7.0,1.0,2.0,220.0,226.0,174.0,179.0,46.0,47.0,0.791,0.792,-2.0,-4.0,-1.0,0.0
1,Andromeda,Circinus,Home Win,8,2016,237,13.0,2.0,542.0,436.0,106.0,5.0,0.0,566.0,452.0,114.0,8.0,2.0,18.0,2.0,1108.0,888.0,220.0,0.804,0.799,0.8013,5.0,8.0,0.0,2.0,273.0,269.0,224.0,212.0,49.0,57.0,0.8203,0.788,1.0,4.0,0.0,0.0,292.0,274.0,237.0,215.0,55.0,59.0,0.8115,0.7847,4.0,4.0,0.0,2.0
1,Andromeda,Cartwheel,Away win,8,2017,241,11.0,2.0,530.0,457.0,73.0,7.0,3.0,426.0,355.0,71.0,4.0,-1.0,18.0,5.0,956.0,812.0,144.0,0.8623,0.8335,0.8496,5.0,6.0,1.0,1.0,272.0,258.0,229.0,228.0,43.0,30.0,0.842,0.884,3.0,4.0,1.0,2.0,261.0,165.0,218.0,137.0,43.0,28.0,0.8354,0.83,2.0,2.0,0.0,-1.0
1,Andromeda,Coma Pinwheel,Away win,8,2017,233,13.0,7.0,463.0,375.0,88.0,14.0,2.0,393.0,296.0,97.0,-1.0,5.0,27.0,9.0,856.0,671.0,185.0,0.81,0.7534,0.7837,6.0,7.0,2.0,5.0,231.0,232.0,190.0,185.0,41.0,47.0,0.8228,0.7974,10.0,4.0,1.0,1.0,189.0,204.0,145.0,151.0,44.0,53.0,0.767,0.74,-4.0,3.0,1.0,4.0
1,Andromeda,Comet,Home Win,8,2016,217,4.0,1.0,523.0,443.0,80.0,10.0,0.0,404.0,310.0,94.0,-6.0,1.0,14.0,1.0,927.0,753.0,174.0,0.847,0.767,0.8125,2.0,2.0,0.0,1.0,335.0,188.0,290.0,153.0,45.0,35.0,0.8657,0.814,1.0,9.0,0.0,0.0,172.0,232.0,128.0,182.0,44.0,50.0,0.744,0.7847,1.0,-7.0,0.0,1.0
1,Andromeda,Cosmos Redshift 7,Draw,3,2017,66,7.0,0.0,371.0,271.0,100.0,8.0,2.0,386.0,279.0,107.0,-1.0,-2.0,15.0,2.0,757.0,550.0,207.0,0.7305,0.7227,0.7266,2.0,5.0,0.0,0.0,205.0,166.0,150.0,121.0,55.0,45.0,0.732,0.729,6.0,2.0,1.0,1.0,235.0,151.0,174.0,105.0,61.0,46.0,0.74,0.6953,-4.0,3.0,-1.0,-1.0
1,Andromeda,Fireworks,Draw,9,2016,272,11.0,3.0,499.0,416.0,83.0,10.0,4.0,444.0,355.0,89.0,1.0,-1.0,21.0,7.0,943.0,771.0,172.0,0.8335,0.7993,0.8174,4.0,7.0,0.0,3.0,246.0,253.0,212.0,204.0,34.0,49.0,0.862,0.806,3.0,7.0,0.0,4.0,252.0,192.0,208.0,147.0,44.0,45.0,0.825,0.7656,1.0,0.0,0.0,-1.0
1,Andromeda,Medusa Merger,Home Win,11,2016,315,7.0,1.0,479.0,370.0,109.0,6.0,2.0,467.0,363.0,104.0,1.0,-1.0,13.0,3.0,946.0,733.0,213.0,0.7725,0.7773,0.775,3.0,4.0,1.0,0.0,240.0,239.0,181.0,189.0,59.0,50.0,0.7544,0.791,5.0,1.0,2.0,0.0,290.0,177.0,235.0,128.0,55.0,49.0,0.8105,0.723,-2.0,3.0,-1.0,0.0
1,Andromeda,Milky Way,Home Win,2,2017,32,8.0,3.0,528.0,442.0,86.0,8.0,4.0,446.0,358.0,88.0,0.0,-1.0,16.0,7.0,974.0,800.0,174.0,0.837,0.8027,0.8213,4.0,4.0,1.0,2.0,363.0,165.0,311.0,131.0,52.0,34.0,0.857,0.794,3.0,5.0,0.0,4.0,205.0,241.0,159.0,199.0,46.0,42.0,0.7754,0.8257,1.0,-1.0,1.0,-2.0
1,Butterfly,Andromeda,Draw,8,2017,230,12.0,3.0,507.0,401.0,106.0,7.0,3.0,338.0,228.0,110.0,5.0,0.0,19.0,6.0,845.0,629.0,216.0,0.791,0.6743,0.744,8.0,4.0,1.0,2.0,221.0,286.0,175.0,226.0,46.0,60.0,0.792,0.79,5.0,2.0,2.0,1.0,181.0,157.0,125.0,103.0,56.0,54.0,0.6904,0.6562,3.0,2.0,-1.0,1.0
1,Cartwheel,Andromeda,Draw,9,2016,266,5.0,3.0,508.0,422.0,86.0,7.0,2.0,443.0,351.0,92.0,-2.0,1.0,12.0,5.0,951.0,773.0,178.0,0.8306,0.7925,0.813,3.0,2.0,2.0,1.0,247.0,261.0,205.0,217.0,42.0,44.0,0.83,0.8315,4.0,3.0,1.0,1.0,196.0,247.0,161.0,190.0,35.0,57.0,0.8213,0.769,-1.0,-1.0,1.0,0.0
1,Sculptor,Andromeda,Home Win,8,2016,224,10.0,4.0,383.0,303.0,80.0,13.0,3.0,532.0,444.0,88.0,-3.0,1.0,23.0,7.0,915.0,747.0,168.0,0.791,0.8345,0.8164,2.0,8.0,1.0,3.0,186.0,197.0,149.0,154.0,37.0,43.0,0.8013,0.7817,7.0,6.0,2.0,1.0,307.0,225.0,261.0,183.0,46.0,42.0,0.85,0.8135,-5.0,2.0,-1.0,2.0
1,Cigar,Andromeda,Home Win,10,2016,275,8.0,1.0,361.0,268.0,93.0,12.0,4.0,609.0,511.0,98.0,-4.0,-3.0,20.0,5.0,970.0,779.0,191.0,0.742,0.839,0.803,5.0,3.0,0.0,1.0,216.0,145.0,164.0,104.0,52.0,41.0,0.7593,0.7173,5.0,7.0,1.0,3.0,274.0,335.0,228.0,283.0,46.0,52.0,0.832,0.8447,0.0,-4.0,-1.0,-2.0
1,Comet,Andromeda,Home Win,1,2017,3,6.0,2.0,555.0,454.0,101.0,12.0,3.0,419.0,316.0,103.0,-6.0,-1.0,18.0,5.0,974.0,770.0,204.0,0.818,0.7544,0.7905,4.0,2.0,2.0,0.0,261.0,294.0,210.0,244.0,51.0,50.0,0.8047,0.83,6.0,6.0,1.0,2.0,262.0,157.0,212.0,104.0,50.0,53.0,0.809,0.6626,-2.0,-4.0,1.0,-2.0
